"","","","1993","2000","2010","2020"
"","","","Value","Value","Value","Value"
"Albania","Use per area of cropland","Pesticides (total)","0.17","0.44","0.85","1.1"
"Algeria","Use per area of cropland","Pesticides (total)","0.46","0.31","0.22","0.71"
"Andorra","Use per area of cropland","Pesticides (total)","14.12","18.55","16.52","16.58"
"Angola","Use per area of cropland","Pesticides (total)","0.05","0.01","0.01","0.01"
"Argentina","Use per area of cropland","Pesticides (total)","0.94","2.94","6.04","5.6"
"Armenia","Use per area of cropland","Pesticides (total)","0.02","0.14","0.55","1.27"
"Australia","Use per area of cropland","Pesticides (total)","1.38","1.41","1.62","2.05"
"Austria","Use per area of cropland","Pesticides (total)","2.66","2.42","2.58","4.02"
"Azerbaijan","Use per area of cropland","Pesticides (total)","0.07","0.07","0.16","0.23"
"Bahrain","Use per area of cropland","Pesticides (total)","2.34","1.47","2.03","2.97"
"Bangladesh","Use per area of cropland","Pesticides (total)","0.17","0.36","1.53","1.66"
"Belarus","Use per area of cropland","Pesticides (total)","0.34","0.29","0.6","0.16"
"Belgium","Use per area of cropland","Pesticides (total)","","10.83","5.43","6.57"
"Belgium-Luxembourg","Use per area of cropland","Pesticides (total)","10.56","","",""
"Belize","Use per area of cropland","Pesticides (total)","11.25","13.09","6.55","10.27"
"Benin","Use per area of cropland","Pesticides (total)","0.67","0.38","0.68","1.29"
"Bhutan","Use per area of cropland","Pesticides (total)","0.02","0.02","0.06","0.35"
"Bolivia (Plurinational State of)","Use per area of cropland","Pesticides (total)","0.55","1.14","2.91","3.85"
"Bosnia and Herzegovina","Use per area of cropland","Pesticides (total)","2.25","1.99","1.93","2.43"
"Botswana","Use per area of cropland","Pesticides (total)","0.73","1.07","1.5","4.53"
"Brazil","Use per area of cropland","Pesticides (total)","1.44","2.57","5.85","10.49"
"Brunei Darussalam","Use per area of cropland","Pesticides (total)","21.39","24.71","13.36","28.6"
"Bulgaria","Use per area of cropland","Pesticides (total)","0.88","0.76","0.47","1.16"
"Burkina Faso","Use per area of cropland","Pesticides (total)","0.15","0.18","0.2","0.43"
"Burundi","Use per area of cropland","Pesticides (total)","0.07","0.08","0.2","0.03"
"Cabo Verde","Use per area of cropland","Pesticides (total)","0.02","0.15","0.09","0.09"
"Cambodia","Use per area of cropland","Pesticides (total)","0.13","0.12","0.31","3.39"
"Cameroon","Use per area of cropland","Pesticides (total)","0.17","0.08","0.45","0.94"
"Canada","Use per area of cropland","Pesticides (total)","0.71","0.97","1.61","2.42"
"Central African Republic","Use per area of cropland","Pesticides (total)","0.03","0.02","0.03","0.02"
"Chad","Use per area of cropland","Pesticides (total)","0.02","0.01","0.01","0.01"
"Chile","Use per area of cropland","Pesticides (total)","1.23","2.28","3.97","7.82"
"China","Use per area of cropland","Pesticides (total)","1.3","1.91","2.51","2.01"
"China, Hong Kong SAR","Use per area of cropland","Pesticides (total)","10.57","7.83","9.11","18.33"
"China, Taiwan Province of","Use per area of cropland","Pesticides (total)","11.38","10.58","9.66","13.35"
"China, mainland","Use per area of cropland","Pesticides (total)","1.23","1.86","2.47","1.94"
"Colombia","Use per area of cropland","Pesticides (total)","3.1","16.69","14.5","8.07"
"Comoros","Use per area of cropland","Pesticides (total)","0.13","0.1","0.22","0.33"
"Congo","Use per area of cropland","Pesticides (total)","0.2","0.6","1.04","1.13"
"Cook Islands","Use per area of cropland","Pesticides (total)","2.44","3.36","7.83","7.86"
"Costa Rica","Use per area of cropland","Pesticides (total)","2.89","29.15","26.37","24.08"
"Croatia","Use per area of cropland","Pesticides (total)","2.27","2.99","1.62","1.7"
"Cuba","Use per area of cropland","Pesticides (total)","1.01","0.9","0.92","0.98"
"Cyprus","Use per area of cropland","Pesticides (total)","13.21","5.31","5.62","9.58"
"Czechia","Use per area of cropland","Pesticides (total)","1.04","1.37","1.92","1.39"
"Côte d'Ivoire","Use per area of cropland","Pesticides (total)","0","0.01","0.01","0.01"
"Democratic Republic of the Congo","Use per area of cropland","Pesticides (total)","0.14","0.15","0.11","0.07"
"Denmark","Use per area of cropland","Pesticides (total)","1.61","1.39","1.61","1.32"
"Djibouti","Use per area of cropland","Pesticides (total)","13.52","12.16","8.01","4.72"
"Dominican Republic","Use per area of cropland","Pesticides (total)","3.69","3.86","5.26","5.74"
"Ecuador","Use per area of cropland","Pesticides (total)","0.62","6.02","12.27","6.34"
"Egypt","Use per area of cropland","Pesticides (total)","1.38","1.5","3.16","1.9"
"El Salvador","Use per area of cropland","Pesticides (total)","4.45","3.08","4.13","3.52"
"Equatorial Guinea","Use per area of cropland","Pesticides (total)","0.19","0.17","1.8","0.8"
"Eritrea","Use per area of cropland","Pesticides (total)","0.01","0.04","0.04","0.04"
"Estonia","Use per area of cropland","Pesticides (total)","0.16","0.37","0.79","0.87"
"Eswatini","Use per area of cropland","Pesticides (total)","3.9","2.89","2.51","6.35"
"Ethiopia","Use per area of cropland","Pesticides (total)","0.02","0.06","0.26","0.22"
"Fiji","Use per area of cropland","Pesticides (total)","0.69","1.72","4.72","5.48"
"Finland","Use per area of cropland","Pesticides (total)","1.8","1.65","1.69","2.19"
"France","Use per area of cropland","Pesticides (total)","4.78","5.02","3.21","3.42"
"French Polynesia","Use per area of cropland","Pesticides (total)","11.13","14.07","12.5","14.9"
"Gabon","Use per area of cropland","Pesticides (total)","0.59","0.71","0.98","0.98"
"Gambia","Use per area of cropland","Pesticides (total)","0.67","0.93","0.57","0.94"
"Georgia","Use per area of cropland","Pesticides (total)","2.73","2.9","5.93","6.54"
"Germany","Use per area of cropland","Pesticides (total)","2.11","2.93","3.39","4.07"
"Ghana","Use per area of cropland","Pesticides (total)","0.01","0.01","0.21","1.31"
